# instruction bytes -> MASM text, verified byte-identical by tools/verify_encodings.py.
# Regenerate with: py tools/verify_encodings.py --table data/encodings.tsv
cc	int 3
8b7e3c	mov edi, dword ptr [esi + 3Ch]
8b5e40	mov ebx, dword ptr [esi + 40h]
8b8698000000	mov eax, dword ptr [esi + 98h]
c700ffffffff	mov dword ptr [eax], 0FFFFFFFFh
c7464401000000	mov dword ptr [esi + 44h], 1
3b02	cmp eax, dword ptr [edx]
833f00	cmp dword ptr [edi], 0
81c7a4000000	add edi, 0A4h
3b5e10	cmp ebx, dword ptr [esi + 10h]
83c138	add ecx, 38h
c701ffff7f7f	mov dword ptr [ecx], 7F7FFFFFh
81c1a4000000	add ecx, 0A4h
8b5e0c	mov ebx, dword ptr [esi + 0Ch]
83c344	add ebx, 44h
833b02	cmp dword ptr [ebx], 2
3b3e	cmp edi, dword ptr [esi]
c70002000000	mov dword ptr [eax], 2
8b5e3c	mov ebx, dword ptr [esi + 3Ch]
8b4f0c	mov ecx, dword ptr [edi + 0Ch]
c6404c00	mov byte ptr [eax + 4Ch], 0
3b4e3c	cmp ecx, dword ptr [esi + 3Ch]
8b5720	mov edx, dword ptr [edi + 20h]
c7449038ffff7f7f	mov dword ptr [eax + edx*4 + 38h], 7F7FFFFFh
c7464400000000	mov dword ptr [esi + 44h], 0
3b5110	cmp edx, dword ptr [ecx + 10h]
f77b10	idiv dword ptr [ebx + 10h]
8a9118010000	mov dl, byte ptr [ecx + 118h]
8b7728	mov esi, dword ptr [edi + 28h]
8b7228	mov esi, dword ptr [edx + 28h]
8d4c9008	lea ecx, [eax + edx*4 + 8]
d95c8138	fstp dword ptr [ecx + eax*4 + 38h]
c706ffffffff	mov dword ptr [esi], 0FFFFFFFFh
8d0492	lea eax, [edx + edx*4]
8d04c2	lea eax, [edx + eax*8]
8b0487	mov eax, dword ptr [edi + eax*4]
3b4508	cmp eax, dword ptr [ebp + 8]
395e04	cmp dword ptr [esi + 4], ebx
c7400400000000	mov dword ptr [eax + 4], 0
05a4000000	add eax, 0A4h
8d14c3	lea edx, [ebx + eax*8]
8d3490	lea esi, [eax + edx*4]
8d5644	lea edx, [esi + 44h]
8d3c92	lea edi, [edx + edx*4]
c784ba9800000000000000	mov dword ptr [edx + edi*4 + 98h], 0
8d14d3	lea edx, [ebx + edx*8]
8b3497	mov esi, dword ptr [edi + edx*4]
8b723c	mov esi, dword ptr [edx + 3Ch]
8d04c8	lea eax, [eax + ecx*8]
b929000000	mov ecx, 29h
8d4844	lea ecx, [eax + 44h]
833c0fff	cmp dword ptr [edi + ecx], -1
898cba98000000	mov dword ptr [edx + edi*4 + 98h], ecx
3b7040	cmp esi, dword ptr [eax + 40h]
f77e10	idiv dword ptr [esi + 10h]
8d0cc3	lea ecx, [ebx + eax*8]
8b5228	mov edx, dword ptr [edx + 28h]
8d7dcc	lea edi, [ebp - 34h]
8b748240	mov esi, dword ptr [edx + eax*4 + 40h]
83fe18	cmp esi, 18h
8954b044	mov dword ptr [eax + esi*4 + 44h], edx
8d3492	lea esi, [edx + edx*4]
c1e603	shl esi, 3
2bf2	sub esi, edx
8b94b198000000	mov edx, dword ptr [ecx + esi*4 + 98h]
8d8cb198000000	lea ecx, [ecx + esi*4 + 98h]
8d549044	lea edx, [eax + edx*4 + 44h]
8339ff	cmp dword ptr [ecx], -1
8d3c8a	lea edi, [edx + ecx*4]
c6474c01	mov byte ptr [edi + 4Ch], 1
c7474400000000	mov dword ptr [edi + 44h], 0
c7474401000000	mov dword ptr [edi + 44h], 1
8d343f	lea esi, [edi + edi]
8d14ce	lea edx, [esi + ecx*8]
8b7e04	mov edi, dword ptr [esi + 4]
8d0cc1	lea ecx, [ecx + eax*8]
89483c	mov dword ptr [eax + 3Ch], ecx
8d5044	lea edx, [eax + 44h]
69c99c000000	imul ecx, ecx, 9Ch
8b7b0c	mov edi, dword ptr [ebx + 0Ch]
89943998000000	mov dword ptr [ecx + edi + 98h], edx
8b748140	mov esi, dword ptr [ecx + eax*4 + 40h]
8b4c8844	mov ecx, dword ptr [eax + ecx*4 + 44h]
397804	cmp dword ptr [eax + 4], edi
8d14d0	lea edx, [eax + edx*8]
397204	cmp dword ptr [edx + 4], esi
81c2a4000000	add edx, 0A4h
d8a570ffffff	fsub dword ptr [ebp - 90h]
8d951cffffff	lea edx, [ebp - 0E4h]
8d7044	lea esi, [eax + 44h]
b911000000	mov ecx, 11h
898544ffffff	mov dword ptr [ebp - 0BCh], eax
898d48ffffff	mov dword ptr [ebp - 0B8h], ecx
898d68ffffff	mov dword ptr [ebp - 98h], ecx
83c640	add esi, 40h
3b7df0	cmp edi, dword ptr [ebp - 10h]
8d4ec0	lea ecx, [esi - 40h]
898d50ffffff	mov dword ptr [ebp - 0B0h], ecx
8d954cffffff	lea edx, [ebp - 0B4h]
8d9564ffffff	lea edx, [ebp - 9Ch]
8b75bc	mov esi, dword ptr [ebp - 44h]
8b7dc0	mov edi, dword ptr [ebp - 40h]
899544ffffff	mov dword ptr [ebp - 0BCh], edx
8b7824	mov edi, dword ptr [eax + 24h]
d86614	fsub dword ptr [esi + 14h]
8b4028	mov eax, dword ptr [eax + 28h]
d985d4feffff	fld dword ptr [ebp - 12Ch]
d985f0feffff	fld dword ptr [ebp - 110h]
d985d8feffff	fld dword ptr [ebp - 128h]
d985dcfeffff	fld dword ptr [ebp - 124h]
898d64ffffff	mov dword ptr [ebp - 9Ch], ecx
d88decfeffff	fmul dword ptr [ebp - 114h]
d88de0feffff	fmul dword ptr [ebp - 120h]
d88dd4feffff	fmul dword ptr [ebp - 12Ch]
d88df0feffff	fmul dword ptr [ebp - 110h]
d88de4feffff	fmul dword ptr [ebp - 11Ch]
d88df4feffff	fmul dword ptr [ebp - 10Ch]
d88de8feffff	fmul dword ptr [ebp - 118h]
d88540ffffff	fadd dword ptr [ebp - 0C0h]
d8856cffffff	fadd dword ptr [ebp - 94h]
d86dd0	fsubr dword ptr [ebp - 30h]
d86dd4	fsubr dword ptr [ebp - 2Ch]
898d4cffffff	mov dword ptr [ebp - 0B4h], ecx
d88d8cfeffff	fmul dword ptr [ebp - 174h]
d88d80feffff	fmul dword ptr [ebp - 180h]
d88d90feffff	fmul dword ptr [ebp - 170h]
d88d84feffff	fmul dword ptr [ebp - 17Ch]
d88d94feffff	fmul dword ptr [ebp - 16Ch]
d88d88feffff	fmul dword ptr [ebp - 178h]
d9857cfeffff	fld dword ptr [ebp - 184h]
d88538ffffff	fadd dword ptr [ebp - 0C8h]
d88550ffffff	fadd dword ptr [ebp - 0B0h]
d99514ffffff	fst dword ptr [ebp - 0ECh]
d99d24ffffff	fstp dword ptr [ebp - 0DCh]
d88514ffffff	fadd dword ptr [ebp - 0ECh]
d99d14ffffff	fstp dword ptr [ebp - 0ECh]
d99508ffffff	fst dword ptr [ebp - 0F8h]
d9950cffffff	fst dword ptr [ebp - 0F4h]
d99518ffffff	fst dword ptr [ebp - 0E8h]
d995b4feffff	fst dword ptr [ebp - 14Ch]
8b8d70ffffff	mov ecx, dword ptr [ebp - 90h]
8d8da4feffff	lea ecx, [ebp - 15Ch]
d88dacfeffff	fmul dword ptr [ebp - 154h]
d88da8feffff	fmul dword ptr [ebp - 158h]
d88da4feffff	fmul dword ptr [ebp - 15Ch]
d88db8feffff	fmul dword ptr [ebp - 148h]
d88db4feffff	fmul dword ptr [ebp - 14Ch]
d88db0feffff	fmul dword ptr [ebp - 150h]
d88dc0feffff	fmul dword ptr [ebp - 140h]
d88dc4feffff	fmul dword ptr [ebp - 13Ch]
d88dbcfeffff	fmul dword ptr [ebp - 144h]
d88504ffffff	fadd dword ptr [ebp - 0FCh]
d88508ffffff	fadd dword ptr [ebp - 0F8h]
d99d08ffffff	fstp dword ptr [ebp - 0F8h]
d8850cffffff	fadd dword ptr [ebp - 0F4h]
d88510ffffff	fadd dword ptr [ebp - 0F0h]
d88518ffffff	fadd dword ptr [ebp - 0E8h]
d99d18ffffff	fstp dword ptr [ebp - 0E8h]
d8851cffffff	fadd dword ptr [ebp - 0E4h]
d88520ffffff	fadd dword ptr [ebp - 0E0h]
d88524ffffff	fadd dword ptr [ebp - 0DCh]
8d8568feffff	lea eax, [ebp - 198h]
898d74ffffff	mov dword ptr [ebp - 8Ch], ecx
8b5b08	mov ebx, dword ptr [ebx + 8]
899d7cffffff	mov dword ptr [ebp - 84h], ebx
895d84	mov dword ptr [ebp - 7Ch], ebx
894588	mov dword ptr [ebp - 78h], eax
d88d74feffff	fmul dword ptr [ebp - 18Ch]
d8a534ffffff	fsub dword ptr [ebp - 0CCh]
d88560ffffff	fadd dword ptr [ebp - 0A0h]
d8a540ffffff	fsub dword ptr [ebp - 0C0h]
d86da4	fsubr dword ptr [ebp - 5Ch]
d88558ffffff	fadd dword ptr [ebp - 0A8h]
d845a0	fadd dword ptr [ebp - 60h]
d86588	fsub dword ptr [ebp - 78h]
d86d90	fsubr dword ptr [ebp - 70h]
d86d94	fsubr dword ptr [ebp - 6Ch]
d95594	fst dword ptr [ebp - 6Ch]
d95598	fst dword ptr [ebp - 68h]
d845a8	fadd dword ptr [ebp - 58h]
d845ac	fadd dword ptr [ebp - 54h]
8d5664	lea edx, [esi + 64h]
8bbd44ffffff	mov edi, dword ptr [ebp - 0BCh]
8b8d44ffffff	mov ecx, dword ptr [ebp - 0BCh]
8d4358	lea eax, [ebx + 58h]
8d7314	lea esi, [ebx + 14h]
8b7b3c	mov edi, dword ptr [ebx + 3Ch]
899548ffffff	mov dword ptr [ebp - 0B8h], edx
8b918c000000	mov edx, dword ptr [ecx + 8Ch]
d8a54cffffff	fsub dword ptr [ebp - 0B4h]
d84584	fadd dword ptr [ebp - 7Ch]
d86dbc	fsubr dword ptr [ebp - 44h]
d86db4	fsubr dword ptr [ebp - 4Ch]
d86db8	fsubr dword ptr [ebp - 48h]
d87d08	fdivr dword ptr [ebp + 8]
8d4364	lea eax, [ebx + 64h]
8b7594	mov esi, dword ptr [ebp - 6Ch]
81ec1c010000	sub esp, 11Ch
81c284000000	add edx, 84h
d84580	fadd dword ptr [ebp - 80h]
d88d2cffffff	fmul dword ptr [ebp - 0D4h]
d88d30ffffff	fmul dword ptr [ebp - 0D0h]
d99500ffffff	fst dword ptr [ebp - 100h]
d955b4	fst dword ptr [ebp - 4Ch]
d88500ffffff	fadd dword ptr [ebp - 100h]
d995f4feffff	fst dword ptr [ebp - 10Ch]
8b8df8feffff	mov ecx, dword ptr [ebp - 108h]
d99504ffffff	fst dword ptr [ebp - 0FCh]
8d85e4feffff	lea eax, [ebp - 11Ch]
d88d20ffffff	fmul dword ptr [ebp - 0E0h]
d88d24ffffff	fmul dword ptr [ebp - 0DCh]
d88d28ffffff	fmul dword ptr [ebp - 0D8h]
81ecd4030000	sub esp, 3D4h
8a451c	mov al, byte ptr [ebp + 1Ch]
8b4828	mov ecx, dword ptr [eax + 28h]
8d3c52	lea edi, [edx + edx*2]
8d9c952cfcffff	lea ebx, [ebp + edx*4 - 3D4h]
8d74861c	lea esi, [esi + eax*4 + 1Ch]
d99c3dacfcffff	fstp dword ptr [ebp + edi - 354h]
898c3db0fcffff	mov dword ptr [ebp + edi - 350h], ecx
89943db4fcffff	mov dword ptr [ebp + edi - 34Ch], edx
d99c3d2cfeffff	fstp dword ptr [ebp + edi - 1D4h]
d99c3d30feffff	fstp dword ptr [ebp + edi - 1D0h]
d99c3d34feffff	fstp dword ptr [ebp + edi - 1CCh]
d9843d34feffff	fld dword ptr [ebp + edi - 1CCh]
d9843d30feffff	fld dword ptr [ebp + edi - 1D0h]
d9843d2cfeffff	fld dword ptr [ebp + edi - 1D4h]
d88c3d2cfeffff	fmul dword ptr [ebp + edi - 1D4h]
d88c3d30feffff	fmul dword ptr [ebp + edi - 1D0h]
d88c3d34feffff	fmul dword ptr [ebp + edi - 1CCh]
d865b4	fsub dword ptr [ebp - 4Ch]
83ef0c	sub edi, 0Ch
83ee44	sub esi, 44h
8dbdb4fcffff	lea edi, [ebp - 34Ch]
d947f8	fld dword ptr [edi - 8]
d84efc	fmul dword ptr [esi - 4]
8b573c	mov edx, dword ptr [edi + 3Ch]
05dc000000	add eax, 0DCh
8d4744	lea eax, [edi + 44h]
8db088000000	lea esi, [eax + 88h]
8d7844	lea edi, [eax + 44h]
8b5740	mov edx, dword ptr [edi + 40h]
8db5b4fcffff	lea esi, [ebp - 34Ch]
8d46f8	lea eax, [esi - 8]
8d9184000000	lea edx, [ecx + 84h]
8d5e20	lea ebx, [esi + 20h]
8db55cffffff	lea esi, [ebp - 0A4h]
8dbdfcfeffff	lea edi, [ebp - 104h]
d88d14ffffff	fmul dword ptr [ebp - 0ECh]
d88d08ffffff	fmul dword ptr [ebp - 0F8h]
d985fcfeffff	fld dword ptr [ebp - 104h]
d88d18ffffff	fmul dword ptr [ebp - 0E8h]
d88d0cffffff	fmul dword ptr [ebp - 0F4h]
d88d1cffffff	fmul dword ptr [ebp - 0E4h]
d88d10ffffff	fmul dword ptr [ebp - 0F0h]
d8f2	fdiv st, st(2)
d8d1	fcom st(1)
c745080000003f	mov dword ptr [ebp + 8], 3F000000h
8d95f0feffff	lea edx, [ebp - 110h]
8a4128	mov al, byte ptr [ecx + 28h]
c6412801	mov byte ptr [ecx + 28h], 1
8d3c46	lea edi, [esi + eax*2]
69f617270000	imul esi, esi, 2717h
8d3c47	lea edi, [edi + eax*2]
03fe	add edi, esi
69d217270000	imul edx, edx, 2717h
c645fb00	mov byte ptr [ebp - 5], 0
8d4750	lea eax, [edi + 50h]
8b4850	mov ecx, dword ptr [eax + 50h]
8a878c000000	mov al, byte ptr [edi + 8Ch]
8d9780000000	lea edx, [edi + 80h]
8b5a5c	mov ebx, dword ptr [edx + 5Ch]
66395e56	cmp word ptr [esi + 56h], bx
668b4650	mov ax, word ptr [esi + 50h]
898df4feffff	mov dword ptr [ebp - 10Ch], ecx
d8a5f4feffff	fsub dword ptr [ebp - 10Ch]
d9475c	fld dword ptr [edi + 5Ch]
8d9d00ffffff	lea ebx, [ebp - 100h]
8d7e52	lea edi, [esi + 52h]
8b4f5c	mov ecx, dword ptr [edi + 5Ch]
8d9538ffffff	lea edx, [ebp - 0C8h]
898d34ffffff	mov dword ptr [ebp - 0CCh], ecx
8d85e8feffff	lea eax, [ebp - 118h]
8b8d34ffffff	mov ecx, dword ptr [ebp - 0CCh]
c745980000803f	mov dword ptr [ebp - 68h], 3F800000h
d861f8	fsub dword ptr [ecx - 8]
d861fc	fsub dword ptr [ecx - 4]
dec3	faddp st(3), st
d875f4	fdiv dword ptr [ebp - 0Ch]
d88548ffffff	fadd dword ptr [ebp - 0B8h]
d8854cffffff	fadd dword ptr [ebp - 0B4h]
8b4a28	mov ecx, dword ptr [edx + 28h]
d84918	fmul dword ptr [ecx + 18h]
d8491c	fmul dword ptr [ecx + 1Ch]
d84910	fmul dword ptr [ecx + 10h]
d84914	fmul dword ptr [ecx + 14h]
d94044	fld dword ptr [eax + 44h]
d94744	fld dword ptr [edi + 44h]
898574ffffff	mov dword ptr [ebp - 8Ch], eax
c78554ffffff01000000	mov dword ptr [ebp - 0ACh], 1
c78558ffffff00000000	mov dword ptr [ebp - 0A8h], 0
898d5cffffff	mov dword ptr [ebp - 0A4h], ecx
d94760	fld dword ptr [edi + 60h]
d84764	fadd dword ptr [edi + 64h]
8d8780000000	lea eax, [edi + 80h]
8b8f80000000	mov ecx, dword ptr [edi + 80h]
c645fb01	mov byte ptr [ebp - 5], 1
83c260	add edx, 60h
d84664	fadd dword ptr [esi + 64h]
c7459401000000	mov dword ptr [ebp - 6Ch], 1
8b4a4c	mov ecx, dword ptr [edx + 4Ch]
d94250	fld dword ptr [edx + 50h]
d94244	fld dword ptr [edx + 44h]
c7459001000000	mov dword ptr [ebp - 70h], 1
c7459400000000	mov dword ptr [ebp - 6Ch], 0
c7458400000000	mov dword ptr [ebp - 7Ch], 0
c7458c00000000	mov dword ptr [ebp - 74h], 0
83ec78	sub esp, 78h
8b5728	mov edx, dword ptr [edi + 28h]
d86224	fsub dword ptr [edx + 24h]
d86228	fsub dword ptr [edx + 28h]
d8622c	fsub dword ptr [edx + 2Ch]
8d4d2c	lea ecx, [ebp + 2Ch]
8d552c	lea edx, [ebp + 2Ch]
8a465d	mov al, byte ptr [esi + 5Dh]
8a475d	mov al, byte ptr [edi + 5Dh]
c6450c00	mov byte ptr [ebp + 0Ch], 0
c6450c01	mov byte ptr [ebp + 0Ch], 1
8d452c	lea eax, [ebp + 2Ch]
8b4534	mov eax, dword ptr [ebp + 34h]
d86124	fsub dword ptr [ecx + 24h]
d86128	fsub dword ptr [ecx + 28h]
d8612c	fsub dword ptr [ecx + 2Ch]
8b4d30	mov ecx, dword ptr [ebp + 30h]
8b4538	mov eax, dword ptr [ebp + 38h]
8b5d2c	mov ebx, dword ptr [ebp + 2Ch]
8d5538	lea edx, [ebp + 38h]
8d4d38	lea ecx, [ebp + 38h]
8b4d38	mov ecx, dword ptr [ebp + 38h]
8d4538	lea eax, [ebp + 38h]
83790803	cmp dword ptr [ecx + 8], 3
d95008	fst dword ptr [eax + 8]
8d722c	lea esi, [edx + 2Ch]
8b7a70	mov edi, dword ptr [edx + 70h]
d9810c010000	fld dword ptr [ecx + 10Ch]
d95824	fstp dword ptr [eax + 24h]
d98110010000	fld dword ptr [ecx + 110h]
d95828	fstp dword ptr [eax + 28h]
d98114010000	fld dword ptr [ecx + 114h]
d9582c	fstp dword ptr [eax + 2Ch]
8d7eff	lea edi, [esi - 1]
8d81b4010000	lea eax, [ecx + 1B4h]
8d81b8010000	lea eax, [ecx + 1B8h]
8d5701	lea edx, [edi + 1]
8d9848feffff	lea ebx, [eax - 1B8h]
8d98b0010000	lea ebx, [eax + 1B0h]
8958fc	mov dword ptr [eax - 4], ebx
05b4010000	add eax, 1B4h
8d3452	lea esi, [edx + edx*2]
8d34f6	lea esi, [esi + esi*8]
8d14b2	lea edx, [edx + esi*4]
8d8c914cfeffff	lea ecx, [ecx + edx*4 - 1B4h]
898850feffff	mov dword ptr [eax - 1B0h], ecx
89984cfeffff	mov dword ptr [eax - 1B4h], ebx
889854feffff	mov byte ptr [eax - 1ACh], bl
c7462c0000fa43	mov dword ptr [esi + 2Ch], 43FA0000h
89bef0000000	mov dword ptr [esi + 0F0h], edi
89bee8000000	mov dword ptr [esi + 0E8h], edi
89befc000000	mov dword ptr [esi + 0FCh], edi
89bef8000000	mov dword ptr [esi + 0F8h], edi
89bef4000000	mov dword ptr [esi + 0F4h], edi
89be04010000	mov dword ptr [esi + 104h], edi
89be00010000	mov dword ptr [esi + 100h], edi
888618010000	mov byte ptr [esi + 118h], al
89818c000000	mov dword ptr [ecx + 8Ch], eax
898188000000	mov dword ptr [ecx + 88h], eax
898194000000	mov dword ptr [ecx + 94h], eax
898190000000	mov dword ptr [ecx + 90h], eax
899ea4000000	mov dword ptr [esi + 0A4h], ebx
899ea0000000	mov dword ptr [esi + 0A0h], ebx
899ec8000000	mov dword ptr [esi + 0C8h], ebx
899ec4000000	mov dword ptr [esi + 0C4h], ebx
889ecc000000	mov byte ptr [esi + 0CCh], bl
8d8600010000	lea eax, [esi + 100h]
8d8e0c010000	lea ecx, [esi + 10Ch]
899ed8000000	mov dword ptr [esi + 0D8h], ebx
899ed4000000	mov dword ptr [esi + 0D4h], ebx
899ed0000000	mov dword ptr [esi + 0D0h], ebx
899ee4000000	mov dword ptr [esi + 0E4h], ebx
899ee0000000	mov dword ptr [esi + 0E0h], ebx
899edc000000	mov dword ptr [esi + 0DCh], ebx
d986e8000000	fld dword ptr [esi + 0E8h]
d986ec000000	fld dword ptr [esi + 0ECh]
d986f0000000	fld dword ptr [esi + 0F0h]
899e08010000	mov dword ptr [esi + 108h], ebx
899e04010000	mov dword ptr [esi + 104h], ebx
899e00010000	mov dword ptr [esi + 100h], ebx
899ef0000000	mov dword ptr [esi + 0F0h], ebx
899eec000000	mov dword ptr [esi + 0ECh], ebx
899ee8000000	mov dword ptr [esi + 0E8h], ebx
899efc000000	mov dword ptr [esi + 0FCh], ebx
899ef8000000	mov dword ptr [esi + 0F8h], ebx
899ef4000000	mov dword ptr [esi + 0F4h], ebx
8d8e20010000	lea ecx, [esi + 120h]
8d8e50010000	lea ecx, [esi + 150h]
8d8e80010000	lea ecx, [esi + 180h]
d95910	fstp dword ptr [ecx + 10h]
d87114	fdiv dword ptr [ecx + 14h]
d87118	fdiv dword ptr [ecx + 18h]
d95924	fstp dword ptr [ecx + 24h]
d8711c	fdiv dword ptr [ecx + 1Ch]
c74128ffff7f7f	mov dword ptr [ecx + 28h], 7F7FFFFFh
0fbe4514	movsx eax, byte ptr [ebp + 14h]
83e878	sub eax, 78h
686f12833a	push 3A83126Fh
668b4648	mov ax, word ptr [esi + 48h]
8b0c97	mov ecx, dword ptr [edi + edx*4]
668b464a	mov ax, word ptr [esi + 4Ah]
8b148f	mov edx, dword ptr [edi + ecx*4]
8b0c87	mov ecx, dword ptr [edi + eax*4]
668b4e4e	mov cx, word ptr [esi + 4Eh]
8b1497	mov edx, dword ptr [edi + edx*4]
d86e18	fsubr dword ptr [esi + 18h]
8b919c000000	mov edx, dword ptr [ecx + 9Ch]
8b91a0000000	mov edx, dword ptr [ecx + 0A0h]
d889d0000000	fmul dword ptr [ecx + 0D0h]
d889d4000000	fmul dword ptr [ecx + 0D4h]
d889d8000000	fmul dword ptr [ecx + 0D8h]
8b91a8000000	mov edx, dword ptr [ecx + 0A8h]
8b91ac000000	mov edx, dword ptr [ecx + 0ACh]
8b91b0000000	mov edx, dword ptr [ecx + 0B0h]
d889dc000000	fmul dword ptr [ecx + 0DCh]
d889e0000000	fmul dword ptr [ecx + 0E0h]
d889e4000000	fmul dword ptr [ecx + 0E4h]
8d75a8	lea esi, [ebp - 58h]
d84678	fadd dword ptr [esi + 78h]
d95e78	fstp dword ptr [esi + 78h]
d8467c	fadd dword ptr [esi + 7Ch]
d95e7c	fstp dword ptr [esi + 7Ch]
d99e80000000	fstp dword ptr [esi + 80h]
d8c4	fadd st, st(4)
d8c3	fadd st, st(3)
81ecb4000000	sub esp, 0B4h
8db54cffffff	lea esi, [ebp - 0B4h]
d94724	fld dword ptr [edi + 24h]
d94728	fld dword ptr [edi + 28h]
895678	mov dword ptr [esi + 78h], edx
898e80000000	mov dword ptr [esi + 80h], ecx
d8857cffffff	fadd dword ptr [ebp - 84h]
d86d80	fsubr dword ptr [ebp - 80h]
d86d84	fsubr dword ptr [ebp - 7Ch]
8b9190000000	mov edx, dword ptr [ecx + 90h]
899090000000	mov dword ptr [eax + 90h], edx
8b9194000000	mov edx, dword ptr [ecx + 94h]
899094000000	mov dword ptr [eax + 94h], edx
899098000000	mov dword ptr [eax + 98h], edx
899084000000	mov dword ptr [eax + 84h], edx
899088000000	mov dword ptr [eax + 88h], edx
89908c000000	mov dword ptr [eax + 8Ch], edx
d88888000000	fmul dword ptr [eax + 88h]
d8888c000000	fmul dword ptr [eax + 8Ch]
89b088000000	mov dword ptr [eax + 88h], esi
d9988c000000	fstp dword ptr [eax + 8Ch]
d99884000000	fstp dword ptr [eax + 84h]
d98184000000	fld dword ptr [ecx + 84h]
d98188000000	fld dword ptr [ecx + 88h]
d99888000000	fstp dword ptr [eax + 88h]
d9818c000000	fld dword ptr [ecx + 8Ch]
d84a2c	fmul dword ptr [edx + 2Ch]
d84a28	fmul dword ptr [edx + 28h]
d84a24	fmul dword ptr [edx + 24h]
d8661c	fsub dword ptr [esi + 1Ch]
d86ddc	fsubr dword ptr [ebp - 24h]
d86de0	fsubr dword ptr [ebp - 20h]
d86de4	fsubr dword ptr [ebp - 1Ch]
d955e8	fst dword ptr [ebp - 18h]
8d7e54	lea edi, [esi + 54h]
8d4e6c	lea ecx, [esi + 6Ch]
d8a6b0010000	fsub dword ptr [esi + 1B0h]
d986b4000000	fld dword ptr [esi + 0B4h]
d8869c000000	fadd dword ptr [esi + 9Ch]
d99e9c000000	fstp dword ptr [esi + 9Ch]
d986b8000000	fld dword ptr [esi + 0B8h]
d99ea0000000	fstp dword ptr [esi + 0A0h]
d986bc000000	fld dword ptr [esi + 0BCh]
d886a4000000	fadd dword ptr [esi + 0A4h]
d99ea4000000	fstp dword ptr [esi + 0A4h]
d986c0000000	fld dword ptr [esi + 0C0h]
d886a8000000	fadd dword ptr [esi + 0A8h]
d99ea8000000	fstp dword ptr [esi + 0A8h]
d886ac000000	fadd dword ptr [esi + 0ACh]
d886b0000000	fadd dword ptr [esi + 0B0h]
8d9600010000	lea edx, [esi + 100h]
898ebc000000	mov dword ptr [esi + 0BCh], ecx
898eb8000000	mov dword ptr [esi + 0B8h], ecx
898eb4000000	mov dword ptr [esi + 0B4h], ecx
898ec8000000	mov dword ptr [esi + 0C8h], ecx
898ec4000000	mov dword ptr [esi + 0C4h], ecx
898ec0000000	mov dword ptr [esi + 0C0h], ecx
8d860c010000	lea eax, [esi + 10Ch]
898eb0010000	mov dword ptr [esi + 1B0h], ecx
888ecc000000	mov byte ptr [esi + 0CCh], cl
d9860c010000	fld dword ptr [esi + 10Ch]
d98610010000	fld dword ptr [esi + 110h]
d98614010000	fld dword ptr [esi + 114h]
8dbe9c000000	lea edi, [esi + 9Ch]
8d9ea8000000	lea ebx, [esi + 0A8h]
8986b4000000	mov dword ptr [esi + 0B4h], eax
8886cc000000	mov byte ptr [esi + 0CCh], al
d886b0010000	fadd dword ptr [esi + 1B0h]
d99eb0010000	fstp dword ptr [esi + 1B0h]
c686cc00000000	mov byte ptr [esi + 0CCh], 0
8a4308	mov al, byte ptr [ebx + 8]
8b831c010000	mov eax, dword ptr [ebx + 11Ch]
8db320010000	lea esi, [ebx + 120h]
8d7d90	lea edi, [ebp - 70h]
8db350010000	lea esi, [ebx + 150h]
8dbd60ffffff	lea edi, [ebp - 0A0h]
8d9380010000	lea edx, [ebx + 180h]
8d93d0000000	lea edx, [ebx + 0D0h]
8d839c000000	lea eax, [ebx + 9Ch]
8d83dc000000	lea eax, [ebx + 0DCh]
8d8ba8000000	lea ecx, [ebx + 0A8h]
8dbb84000000	lea edi, [ebx + 84h]
8d733c	lea esi, [ebx + 3Ch]
8dbb90000000	lea edi, [ebx + 90h]
8d5348	lea edx, [ebx + 48h]
d9433c	fld dword ptr [ebx + 3Ch]
d883d0000000	fadd dword ptr [ebx + 0D0h]
d983d4000000	fld dword ptr [ebx + 0D4h]
d983d8000000	fld dword ptr [ebx + 0D8h]
d88b9c000000	fmul dword ptr [ebx + 9Ch]
d88ba0000000	fmul dword ptr [ebx + 0A0h]
d88ba4000000	fmul dword ptr [ebx + 0A4h]
d99b88000000	fstp dword ptr [ebx + 88h]
d99b8c000000	fstp dword ptr [ebx + 8Ch]
d983dc000000	fld dword ptr [ebx + 0DCh]
d84348	fadd dword ptr [ebx + 48h]
d95b48	fstp dword ptr [ebx + 48h]
d983e0000000	fld dword ptr [ebx + 0E0h]
d8434c	fadd dword ptr [ebx + 4Ch]
d95b4c	fstp dword ptr [ebx + 4Ch]
d983e4000000	fld dword ptr [ebx + 0E4h]
d88ba8000000	fmul dword ptr [ebx + 0A8h]
d88bac000000	fmul dword ptr [ebx + 0ACh]
d88bb0000000	fmul dword ptr [ebx + 0B0h]
d84b48	fmul dword ptr [ebx + 48h]
d84b24	fmul dword ptr [ebx + 24h]
8b4338	mov eax, dword ptr [ebx + 38h]
d84b54	fmul dword ptr [ebx + 54h]
d84b58	fmul dword ptr [ebx + 58h]
d84b5c	fmul dword ptr [ebx + 5Ch]
d84b64	fmul dword ptr [ebx + 64h]
d84b6c	fmul dword ptr [ebx + 6Ch]
d84b70	fmul dword ptr [ebx + 70h]
d84b74	fmul dword ptr [ebx + 74h]
8d8b84000000	lea ecx, [ebx + 84h]
8d7378	lea esi, [ebx + 78h]
